,Line Item,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015,Q1-2016,Q2-2016,Q3-2016,Q4-2016,Q1-2017,Q2-2017,Q3-2017,Q4-2017,Q1-2018,Q2-2018,Q3-2018,Q4-2018,Q1-2019,Q2-2019,Q3-2019,Q4-2019
74,Share Capital & Additional Paid-In Capital,11615374000,11730952000,11793440000,12048000000,12032000000,12126000000,12207000000,12383000000,12462000000,12566000000,12641000000,12734000000,12744000000,12835000000,12939000000,13027000000,22886000000,23012000000,23118000000,23206000000,23223000000,23317000000,23428000000,23512000000,23461000000,,,
75,Common Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Additional Paid in Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Other Share Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Treasury Stock,-6194998000,-6487355000,-6808771000,-6844000000,-8713000000,-8709000000,-8679000000,-8678000000,-9721000000,-9716000000,-9694000000,-10622000000,-10825000000,-10821000000,-10792000000,-10791000000,-10379000000,-10362000000,-10290000000,-10225000000,-9947000000,-9907000000,-9858000000,-9962000000,-9679000000,,,
79,Retained Earnings,20062483000,20318892000,21668078000,21979000000,22005000000,22137000000,22335000000,22874000000,24740000000,25162000000,25375000000,25757000000,25654000000,25884000000,25162000000,25565000000,25387000000,25202000000,25320000000,23978000000,23856000000,24080000000,24144000000,24560000000,24613000000,,,
80,Other Equity,-2894673000,-3226425000,-2956510000,-2012000000,-1934000000,-1952000000,-2975000000,-5053000000,-5607000000,-5004000000,-7211000000,-6658000000,-6851000000,-7223000000,-6533000000,-7263000000,-6532000000,-6250000000,-6116000000,-6062000000,-5733000000,-6913000000,-7009000000,-7586000000,-7470000000,,,
81,Equity Before Minority Interest,22588186000,22336064000,23696237000,25171000000,23390000000,23602000000,22888000000,21526000000,21874000000,23008000000,21111000000,21211000000,20722000000,20675000000,20776000000,20538000000,31362000000,31602000000,32032000000,30897000000,31399000000,30577000000,30705000000,30524000000,30925000000,,,
82,Minority Interest,95089000,91582000,91694000,96000000,99000000,102000000,105000000,113000000,114000000,118000000,108000000,115000000,120000000,120000000,120000000,179000000,185000000,186000000,186000000,201000000,202000000,197000000,193000000,198000000,204000000,,,
83,Total Equity,22683275000,22427646000,23787931000,25267000000,23489000000,23704000000,22993000000,21639000000,21988000000,23126000000,21219000000,21326000000,20842000000,20795000000,20896000000,20717000000,31547000000,31788000000,32218000000,31098000000,31601000000,30774000000,30898000000,30722000000,31129000000,,,
84,Total Liabilities & Equity,42686613000,42903346000,44132477000,42953000000,41662000000,41475000000,42514000000,41207000000,43095000000,44125000000,41725000000,41247000000,39637000000,39831000000,39497000000,52666000000,70887000000,71151000000,72248000000,76250000000,70908000000,68415000000,71637000000,67173000000,67610000000,,,
