,Line Item,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015,Q1-2016,Q2-2016,Q3-2016,Q4-2016,Q1-2017,Q2-2017,Q3-2017,Q4-2017,Q1-2018,Q2-2018,Q3-2018,Q4-2018,Q1-2019,Q2-2019,Q3-2019,Q4-2019
50,Other Short Term Liabilities,54000000,0,838000000,837000000,812000000,0,0,0,9000000,9000000,30000000,661000000,0,841000000,802000000,1654000000,41000000,37000000,15000000,1033000000,63000000,17000000,17000000,8000000,418000000,,,
51,Deferred Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Derivatives & Hedging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Deferred Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Miscellaneous Short Term Liabilities,54000000,0,838000000,837000000,812000000,0,0,0,9000000,9000000,30000000,661000000,0,841000000,802000000,1654000000,41000000,37000000,15000000,1033000000,63000000,17000000,17000000,8000000,418000000,,,
56,Total Current Liabilities,9286000000,8273000000,8009000000,7653000000,7840000000,6667000000,7073000000,6997000000,6582000000,6563000000,6534000000,6926000000,6572000000,6216000000,5713000000,5277000000,5243000000,6411000000,6736000000,6028000000,4876000000,3994000000,4047000000,4399000000,4357000000,,,
57,Long Term Debt,18269000000,18029000000,18533000000,18869000000,19410000000,19628000000,18719000000,18725000000,18570000000,18764000000,18398000000,17909000000,18337000000,19170000000,19740000000,18402000000,19197000000,18195000000,19776000000,17801000000,17661000000,18356000000,18088000000,17636000000,18445000000,,,
58,Long Term Borrowings,18269000000,18029000000,18533000000,18869000000,19410000000,19628000000,18719000000,18725000000,18570000000,18764000000,18398000000,17909000000,18337000000,19170000000,19740000000,18402000000,19197000000,18195000000,19776000000,17801000000,17661000000,18356000000,18088000000,17636000000,18445000000,,,
59,Long Term Capital Leases,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Other Long Term Liabilities,7344000000,6649000000,6664000000,6160000000,6004000000,5552000000,5547000000,5841000000,5487000000,5635000000,5069000000,4926000000,5135000000,5162000000,5112000000,5963000000,5165000000,4998000000,5176000000,3601000000,3660000000,3727000000,3766000000,4003000000,4130000000,,,
61,Accrued Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Pension Liabilities,2389000000,2203000000,2138000000,1310000000,1290000000,1332000000,1224000000,1342000000,1142000000,1183000000,978000000,919000000,985000000,1054000000,1035000000,237000000,1411000000,1347000000,1387000000,,189000000,,,,,,,
63,Pensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Other Post-Retirement Benefits,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Deferred Compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Deferred Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Deferred Tax Liabilities,1239000000,1195000000,1116000000,1119000000,1145000000,1114000000,1165000000,1277000000,1223000000,1281000000,1185000000,1090000000,1118000000,1036000000,1042000000,804000000,758000000,746000000,742000000,1006000000,1207000000,1165000000,1214000000,1280000000,1302000000,,,
68,Derivatives & Hedging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Discontinued Operations,3000000,0,368000000,432000000,378000000,0,0,,62000000,61000000,,123000000,,0,0,2595000000,,,,,,,,,,,,
70,Miscellaneous Long Term Liabilities,3713000000,3251000000,3042000000,3299000000,3191000000,3106000000,3158000000,3222000000,3060000000,3110000000,2906000000,2794000000,3032000000,3072000000,3035000000,2327000000,2996000000,2905000000,3047000000,2595000000,2264000000,2562000000,2552000000,2723000000,2828000000,,,
71,Total Noncurrent Liabilities,25613000000,24678000000,25197000000,25029000000,25414000000,25180000000,24266000000,24566000000,24057000000,24399000000,23467000000,22835000000,23472000000,24332000000,24852000000,24365000000,24362000000,23193000000,24952000000,21402000000,21321000000,22083000000,21854000000,21639000000,22575000000,,,
72,Total Liabilities,34899000000,32951000000,33206000000,32682000000,33254000000,31847000000,31339000000,31563000000,30639000000,30962000000,30001000000,29761000000,30044000000,30548000000,30565000000,29642000000,29605000000,29604000000,31688000000,27430000000,26197000000,26077000000,25901000000,26038000000,26932000000,,,
73,Preferred Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Share Capital & Additional Paid-In Capital,8535000000,8489000000,8505000000,8451000000,8432000000,8404000000,8363000000,8417000000,8538000000,8713000000,8718000000,8726000000,8714000000,8722000000,8653000000,8600000000,8739000000,8740000000,8678000000,8509000000,8405000000,8410000000,8336000000,8162000000,8047000000,,,
75,Common Stock,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,,,
76,Additional Paid in Capital,8527000000,8481000000,8497000000,8443000000,8424000000,8396000000,8355000000,8409000000,8530000000,8705000000,8710000000,8718000000,8706000000,8714000000,8645000000,8592000000,8731000000,8732000000,8670000000,8501000000,8397000000,8402000000,8328000000,8154000000,8039000000,,,
77,Other Share Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Treasury Stock,-768000000,-786000000,-830000000,-1089000000,-1064000000,-1095000000,-1203000000,-1371000000,-1390000000,-1662000000,-1763000000,-1837000000,-1904000000,-1904000000,-1904000000,-1904000000,-1892000000,-1892000000,-1892000000,-1892000000,-1879000000,-1879000000,-1878000000,-1878000000,-1867000000,,,
79,Retained Earnings,-182000000,-15000000,56000000,-150000000,-208000000,-75000000,413000000,512000000,423000000,258000000,370000000,143000000,198000000,-284000000,-114000000,-1146000000,-1139000000,-1086000000,-934000000,-2276000000,-1525000000,-1234000000,-1133000000,-1005000000,-839000000,,,
80,Other Equity,-2952000000,-2939000000,-2918000000,-2882000000,-2967000000,-3023000000,-3176000000,-3286000000,-3549000000,-3445000000,-3758000000,-3883000000,-3807000000,-3768000000,-3753000000,-2756000000,-2717000000,-2741000000,-2666000000,-1876000000,-1808000000,-1988000000,-2020000000,-2071000000,-2107000000,,,
81,Equity Before Minority Interest,4633000000,4749000000,4813000000,4330000000,4193000000,4211000000,4397000000,4272000000,4022000000,3864000000,3567000000,3149000000,3201000000,2766000000,2882000000,2794000000,2991000000,3021000000,3186000000,2465000000,3193000000,3309000000,3305000000,3208000000,3234000000,,,
82,Minority Interest,3186000000,3136000000,3231000000,3399000000,3526000000,3375000000,3247000000,3131000000,3336000000,3758000000,3432000000,3560000000,3655000000,3660000000,3661000000,3688000000,3912000000,3844000000,3960000000,3217000000,3183000000,3211000000,3283000000,3275000000,3305000000,,,
83,Total Equity,7819000000,7885000000,8044000000,7729000000,7719000000,7586000000,7644000000,7403000000,7358000000,7622000000,6999000000,6709000000,6856000000,6426000000,6543000000,6482000000,6903000000,6865000000,7146000000,5682000000,6376000000,6520000000,6588000000,6483000000,6539000000,,,
84,Total Liabilities & Equity,42718000000,40836000000,41250000000,40411000000,40973000000,39433000000,38983000000,38966000000,37997000000,38584000000,37000000000,36470000000,36900000000,36974000000,37108000000,36124000000,36508000000,36469000000,38834000000,33112000000,32573000000,32597000000,32489000000,32521000000,33471000000,,,
