,Line Item,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015,Q1-2016,Q2-2016,Q3-2016,Q4-2016,Q1-2017,Q2-2017,Q3-2017,Q4-2017,Q1-2018,Q2-2018,Q3-2018,Q4-2018,Q1-2019,Q2-2019,Q3-2019,Q4-2019
71,Total Noncurrent Liabilities,12792000000,12782000000,12782000000,11895000000,11786000000,12562000000,12841000000,13185000000,13518000000,13690000000,13814000000,14459000000,14535000000,14299000000,14508000000,14780000000,14843000000,15189000000,15549000000,15679000000,15362000000,16400000000,16581000000,16755000000,,,,
72,Total Liabilities,15452000000,15442000000,15442000000,14356000000,14511000000,14874000000,14960000000,15434000000,16038000000,16246000000,16303000000,16552000000,16374000000,16729000000,16799000000,17454000000,17605000000,17954000000,18130000000,18619000000,18707000000,19111000000,19161000000,19442000000,,,,
73,Preferred Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Share Capital & Additional Paid-In Capital,5618000000,5618000000,5618000000,5634000000,5604000000,5609000000,5614000000,5619000000,5602000000,5608000000,5614000000,5618000000,5541000000,5547000000,5552000000,5558000000,5524000000,5530000000,5536000000,5542000000,5548000000,5578000000,5600000000,5629000000,,,,
75,Common Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Additional Paid in Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Other Share Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Treasury Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Retained Earnings,1006000000,1006000000,1006000000,907000000,906000000,957000000,1154000000,1103000000,1111000000,1161000000,1405000000,1331000000,1333000000,1376000000,1643000000,1568000000,1563000000,1649000000,1830000000,1660000000,1699000000,1827000000,2073000000,2024000000,,,,
80,Other Equity,-8000000,-8000000,-8000000,3000000,3000000,6000000,6000000,-9000000,-9000000,-5000000,-5000000,-3000000,-5000000,-1000000,-2000000,-23000000,-23000000,-21000000,-21000000,-18000000,-17000000,-19000000,-17000000,-22000000,,,,
81,Equity Before Minority Interest,6616000000,6616000000,6616000000,6544000000,6513000000,6572000000,6774000000,6713000000,6704000000,6764000000,7014000000,6946000000,6869000000,6922000000,7193000000,7103000000,7064000000,7158000000,7345000000,7184000000,7230000000,7386000000,7656000000,7631000000,,,,
82,Minority Interest,151000000,151000000,151000000,142000000,142000000,142000000,142000000,142000000,142000000,142000000,142000000,142000000,142000000,142000000,142000000,142000000,142000000,142000000,142000000,142000000,142000000,142000000,142000000,142000000,,,,
83,Total Equity,6767000000,6767000000,6767000000,6686000000,6655000000,6714000000,6916000000,6855000000,6846000000,6906000000,7156000000,7088000000,7011000000,7064000000,7335000000,7245000000,7206000000,7300000000,7487000000,7326000000,7372000000,7528000000,7798000000,7773000000,,,,
84,Total Liabilities & Equity,22219000000,22209000000,22209000000,21042000000,21166000000,21588000000,21876000000,22289000000,22884000000,23152000000,23459000000,23640000000,23385000000,23793000000,24134000000,24699000000,24811000000,25254000000,25617000000,25945000000,26079000000,26639000000,26959000000,27215000000,,,,
